Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,,,Death
2020-01-30,Kerala,1,0,0,,,0
2020-01-31,Kerala,1,0,0,,,0
2020-02-01,Kerala,2,0,0,,,0
2020-02-02,Kerala,3,0,0,,,0
2020-02-03,Kerala,3,0,0,,,0
2020-02-04,Kerala,3,0,0,,,0
2020-02-05,Kerala,3,0,0,,,0
2020-02-06,Kerala,3,0,0,,,0
2020-02-07,Kerala,3,0,0,,,0
2020-02-08,Kerala,3,0,0,,,0
2020-02-09,Kerala,3,0,0,,,0
2020-02-10,Kerala,3,0,0,,,0
2020-02-11,Kerala,3,0,0,,,0
2020-02-12,Kerala,3,0,0,,,0
2020-02-13,Kerala,3,0,0,,,0
2020-02-14,Kerala,3,0,0,,,0
2020-02-15,Kerala,3,0,0,,,0
2020-02-16,Kerala,3,0,0,,,0
2020-02-17,Kerala,3,0,0,,,0
2020-02-18,Kerala,3,0,0,,,0
2020-02-19,Kerala,3,0,0,,,0
2020-02-20,Kerala,3,0,0,,,0
2020-02-21,Kerala,3,0,0,,,0
2020-02-22,Kerala,3,0,0,,,0
2020-02-23,Kerala,3,0,0,,,0
2020-02-24,Kerala,3,0,0,,,0
2020-02-25,Kerala,3,0,0,,,0
2020-02-26,Kerala,3,0,0,,,0
2020-02-27,Kerala,3,0,0,,,0
2020-02-28,Kerala,3,0,0,,,0
2020-02-29,Kerala,3,0,0,,,0
2020-03-01,Kerala,3,0,0,,,0
2020-03-02,Delhi,1,0,0,,,0
2020-03-02,Kerala,3,0,0,,,0
2020-03-02,Telangana,1,0,0,,,0
2020-03-03,Delhi,1,0,0,,,0
2020-03-03,Kerala,3,0,3,,,0
2020-03-03,Rajasthan,0,0,0,,,0
2020-03-03,Telangana,1,0,0,,,0
2020-03-04,Delhi,1,0,0,,,0
2020-03-04,Haryana,0,14,0,,,0
2020-03-04,Kerala,3,0,3,,,0
2020-03-04,Rajasthan,1,0,0,,,0
2020-03-04,Telangana,1,0,0,,,0
2020-03-04,Uttar Pradesh,6,0,0,,,0
2020-03-05,Delhi,2,0,0,,,0
2020-03-05,Haryana,0,14,0,,,0
2020-03-05,Kerala,3,0,3,,,0
2020-03-05,Rajasthan,1,0,0,,,0
2020-03-05,Telangana,1,0,0,,,0
2020-03-05,Uttar Pradesh,7,0,0,,,0
2020-03-06,Delhi,3,0,0,,,0
2020-03-06,Haryana,0,14,0,,,0
2020-03-06,Kerala,3,0,3,,,0
2020-03-06,Rajasthan,1,0,0,,,0
2020-03-06,Telangana,1,0,0,,,0
2020-03-06,Uttar Pradesh,7,0,0,,,0
2020-03-07,Delhi,3,0,0,,,0
2020-03-07,Haryana,0,14,0,,,0
2020-03-07,Kerala,3,0,3,,,0
2020-03-07,Rajasthan,1,0,0,,,0
2020-03-07,Tamil Nadu,1,0,0,,,0
2020-03-07,Telangana,1,0,0,,,0
2020-03-07,Union Territory of Ladakh,2,0,0,,,0
2020-03-07,Uttar Pradesh,7,0,0,,,0
2020-03-08,Delhi,3,0,0,,,0
2020-03-08,Haryana,0,14,0,,,0
2020-03-08,Kerala,8,0,3,,,0
2020-03-08,Rajasthan,1,0,0,,,0
2020-03-08,Tamil Nadu,1,0,0,,,0
2020-03-08,Telangana,1,0,0,,,0
2020-03-08,Union Territory of Ladakh,2,0,0,,,0
2020-03-08,Uttar Pradesh,7,0,0,,,0
2020-03-09,Delhi,4,0,0,,,0
2020-03-09,Haryana,0,14,0,,,0
2020-03-09,Karnataka,1,0,0,,,0
2020-03-09,Kerala,9,0,3,,,0
2020-03-09,Maharashtra,2,0,0,,,0
2020-03-09,Punjab,1,0,0,,,0
2020-03-09,Rajasthan,1,0,0,,,0
2020-03-09,Tamil Nadu,1,0,0,,,0
2020-03-09,Telangana,1,0,0,,,0
2020-03-09,Union Territory of Jammu and Kashmir,1,0,0,,,0
2020-03-09,Union Territory of Ladakh,2,0,0,,,0
2020-03-09,Uttar Pradesh,7,0,0,,,0
2020-03-10,Delhi,4,0,0,,,0
2020-03-10,Haryana,0,14,0,,,0
2020-03-10,Karnataka,4,0,0,,,0
2020-03-10,Kerala,15,0,3,,,0
2020-03-10,Maharashtra,5,0,0,,,0
2020-03-10,Punjab,1,0,0,,,0
2020-03-10,Rajasthan,1,0,0,,,0
2020-03-10,Tamil Nadu,1,0,0,,,0
2020-03-10,Telangana,1,0,0,,,0
2020-03-10,Union Territory of Jammu and Kashmir,1,0,0,,,0
2020-03-10,Union Territory of Ladakh,2,0,0,,,0
2020-03-10,Uttar Pradesh,7,0,0,,,0
2020-03-11,Delhi,5,0,0,,,0
2020-03-11,Haryana,0,14,0,,,0
2020-03-11,Karnataka,4,0,0,,,0
